gtin	cnpj	razao_social	cidade	estado	categoria	descricao
7898605250417	71322150004408	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 300ML
7898605250417	63960005917	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 300ML
7898605250417	47508411135833	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 300ML
7898605250417	63960006212	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 300ML
7898605250417	3720882000905	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 300ML
7898605250417	76430438007184	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 300ML
7898605250417	13004510024100	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 300ML
7898605250325	71322150003266	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO EUGENIA 600ML
7898605250325	71322150004408	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO EUGENIA 600ML
7898925943075	47508411135833	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO DEMOISELLE 600ML
7898925943075	3720882000905	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO DEMOISELLE 600ML
7898925943075	71322150001301	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO DEMOISELLE 600ML
7898925943075	76430438007184	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO DEMOISELLE 600ML
7898925943075	71322150004408	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO DEMOISELLE 600ML
7898925943075	63960005917	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO DEMOISELLE 600ML
7898925943075	63960006212	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO DEMOISELLE 600ML
7898925943075	39346861029909	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO DEMOISELLE 600ML
7898925943075	71322150003266	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO DEMOISELLE 600ML
7898925943075	63960023575	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO DEMOISELLE 600ML
7898925943037	71322150003266	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO INDICA 600ML
7898925943037	39346861029909	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO INDICA 600ML
7898925943037	63960006212	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO INDICA 600ML
7898925943037	63960005917	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO INDICA 600ML
7898925943037	13004510024100	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO INDICA 600ML
7898925943037	39346861026802	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO INDICA 600ML
7898925943037	76430438007184	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO INDICA 600ML
7898925943037	71322150004408	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO INDICA 600ML
7898925943037	63960023575	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO INDICA 600ML
7898925943037	9379531000101	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO INDICA 600ML
7898925943037	17676214000185	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO INDICA 600ML
7898925943037	47508411110687	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO INDICA 600ML
7898925943037	47508411135833	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO INDICA 600ML
7898605251698	47508411135833	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO APPIA LATA 410ML
7898605251698	71322150001301	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO APPIA LATA 410ML
7898605251698	76430438007184	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO APPIA LATA 410ML
7898605251698	63960005917	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO APPIA LATA 410ML
7898605251698	63960006212	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO APPIA LATA 410ML
7898605251698	71322150003266	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO APPIA LATA 410ML
7898925943013	11517841005903	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 600ML
7898925943013	75315333009831	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 600ML
7898925943013	47508411134004	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 600ML
7898925943013	47508411110687	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 600ML
7898925943013	71322150001301	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 600ML
7898925943013	63960023575	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 600ML
7898925943013	71322150004408	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 600ML
7898925943013	76430438007184	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 600ML
7898925943013	13004510024100	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 600ML
7898925943013	63960005917	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 600ML
7898925943013	63960006212	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 600ML
7898925943013	39346861029909	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 600ML
7898925943013	71322150003266	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 600ML
7898925943013	75315333008274	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO CAIUM 600ML
7898605250400	47508411110687	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO APPIA 300ML
7898605250400	47508411135833	CERVEJARIA ZX S.A.	JAGUARIUNA	SP	cervejas	CERVEJA COLORADO APPIA 300ML
